resistance,vitesse,satiete,vision,time_lived
-0.053,-0.053,0.516,-0.082,232.0
-0.916,-0.247,-1.902,-0.327,102.0
-0.09,1.012,0.923,1.175,231.0
1.138,-0.348,-1.352,1.176,511.0
-0.418,4.131,-1.078,2.589,743.0
1.114,1.022,0.194,2.312,436.0
-0.047,1.211,1.971,2.684,480.0
0.793,1.088,1.716,0.052,365.0
-0.484,2.577,-0.58,-0.405,214.0
2.207,2.708,1.157,-0.278,425.0
-1.585,0.989,0.395,2.573,196.0
-1.887,1.527,-0.347,0.187,139.0
0.999,-0.217,0.054,1.561,341.0
1.204,-0.035,-2.333,-0.416,222.0
-0.808,2.547,1.214,0.356,301.0
-0.137,-0.053,0.659,0.611,347.0
0.209,1.491,1.003,0.706,377.0
-1.383,2.26,0.288,0.919,196.0
-0.335,0.993,-1.692,1.012,293.0
0.43,1.052,-0.267,2.491,352.0
0.621,2.135,-0.667,2.583,724.0
-0.319,-0.329,0.268,0.973,218.0
-0.235,0.552,-0.714,-0.093,132.0
1.261,0.017,-0.002,1.47,338.0
-0.072,2.197,-0.7,-0.67,266.0
1.22,1.063,0.18,-0.097,193.0
0.299,-0.14,-0.259,0.153,226.0
-1.467,2.038,-0.736,1.359,194.0
0.585,1.028,0.56,2.262,246.0
0.74,0.602,0.585,2.958,250.0
-1.881,0.691,0.29,1.737,181.0
0.384,0.197,-0.975,1.594,243.0
-1.614,0.389,-0.431,1.786,282.0
-0.146,2.756,-0.134,0.708,226.0
0.397,1.443,-0.731,0.788,198.0
-1.579,1.138,-1.587,0.064,155.0
0.683,1.339,-0.48,1.493,247.0
-1.386,1.796,-0.227,1.281,294.0
0.141,0.484,1.352,1.559,237.0
0.703,0.599,0.985,0.388,329.0
-0.443,-0.198,0.271,0.207,282.0
-0.173,2.362,0.285,-0.024,279.0
0.218,2.103,-0.021,0.82,431.0
-1.916,1.945,-0.495,1.844,179.0
1.93,0.285,0.369,-0.412,168.0
-1.915,0.81,0.305,0.414,159.0
-0.1,2.564,0.777,1.01,184.0
1.661,2.356,-0.156,1.48,398.0
0.749,-0.832,-0.335,-0.042,299.0
-0.6,1.485,-0.006,1.048,387.0
0.86,0.565,0.797,1.247,500.0
-0.318,2.431,-0.705,0.599,286.0
-0.412,1.782,0.726,2.033,471.0
0.681,0.349,0.323,2.587,249.0
-0.4,0.946,0.032,0.529,254.0
-1.787,2.117,-0.66,2.203,184.0
0.911,1.753,-0.485,1.567,311.0
-0.849,0.87,1.486,0.358,169.0
-0.946,1.237,-0.732,2.296,337.0
0.609,0.115,-0.717,-0.462,139.0
-0.347,2.343,-1.36,-0.708,289.0
2.455,2.123,-1.329,1.096,635.0
-0.974,1.291,-0.581,0.292,116.0
0.868,0.876,0.337,-0.308,314.0
0.564,1.774,-0.865,0.078,349.0
-2.0,0.253,-1.374,1.305,177.0
0.239,3.634,-0.073,-0.435,248.0
1.589,1.804,-0.444,0.864,411.0
-0.882,1.138,0.641,1.432,267.0
-0.238,1.003,-1.4,0.857,296.0
-0.621,0.586,0.876,0.377,295.0
0.374,2.227,0.804,0.435,520.0
-0.415,0.655,0.621,-0.401,192.0
-0.03,1.279,-1.041,-1.226,207.0
-1.932,2.146,1.046,1.413,157.0
-0.269,1.193,0.483,2.135,379.0
0.265,0.823,-1.085,1.563,426.0
-0.321,0.938,0.098,1.722,226.0
1.055,2.474,-0.836,1.826,657.0
-1.259,1.022,0.751,1.638,251.0
-0.303,2.821,0.805,1.396,664.0
-1.007,1.593,-0.574,0.953,171.0
0.272,0.729,0.099,-0.541,161.0
0.232,1.869,0.422,0.454,299.0
0.041,-0.174,-1.192,1.911,412.0
-2.0,0.557,1.283,2.026,177.0
0.518,0.304,0.521,1.674,583.0
1.546,1.155,-1.948,0.51,214.0
0.438,0.894,1.011,0.698,999.0
-0.513,1.56,0.685,2.174,181.0
0.04,-0.188,0.241,1.696,588.0
1.587,1.537,-0.226,2.329,236.0
-0.344,0.644,1.698,0.892,378.0
-0.94,0.976,-0.974,-0.282,114.0
0.61,0.586,-0.011,-0.194,252.0
-0.933,0.37,-1.435,1.878,388.0
-0.746,2.2,-0.128,1.386,264.0
1.198,2.39,-1.085,1.333,679.0
-1.885,1.432,0.019,0.781,98.0
-0.388,0.939,0.257,1.857,224.0
0.029,0.068,0.301,1.723,325.0
0.312,0.484,0.239,1.581,342.0
1.654,-0.12,-0.278,-0.295,216.0
0.68,2.006,0.334,2.513,612.0
-0.144,2.376,0.448,-0.085,152.0
-0.421,1.954,0.025,1.132,311.0
-0.239,-0.081,0.383,0.471,523.0
-0.601,0.081,-0.158,1.016,416.0
-2.0,1.356,0.182,1.525,176.0
-0.74,2.521,0.566,-0.785,214.0
-2.0,0.681,1.734,1.159,144.0
3.166,1.888,0.294,1.4,645.0
-1.356,2.297,-1.093,-0.848,109.0
-1.178,0.777,-0.351,1.09,389.0
-2.0,1.135,0.882,0.966,123.0
0.924,-0.959,0.302,-0.928,147.0
2.542,1.026,0.556,0.046,591.0
0.528,0.135,-0.154,1.019,404.0
0.215,0.597,-0.451,1.138,486.0
0.626,-0.441,1.467,-0.154,246.0
0.445,0.702,-0.582,-0.541,123.0
2.576,1.566,0.31,2.352,542.0
0.527,1.553,-0.576,1.806,482.0
0.377,0.711,1.033,1.233,499.0
-0.379,1.258,0.97,3.176,224.0
-0.539,3.155,-0.19,0.86,536.0
-1.996,2.535,0.872,-0.704,85.0
0.969,1.72,0.568,1.658,244.0
-0.438,0.742,0.582,0.534,382.0
-0.265,2.069,1.86,2.141,501.0
-0.637,2.598,-0.698,0.111,195.0
-1.012,2.147,-1.121,2.078,288.0
0.226,2.018,0.022,0.603,179.0
0.094,-0.428,1.085,0.693,238.0
-0.924,3.269,-0.886,0.221,113.0
-0.524,1.591,0.623,2.313,273.0
-0.554,1.047,0.495,1.477,464.0
-1.051,1.005,1.363,0.163,145.0
0.157,0.712,-1.007,1.355,237.0
-0.378,-0.374,-1.367,2.496,227.0
-0.441,2.216,-1.49,1.265,327.0
0.808,1.172,0.33,1.209,456.0
-1.187,2.321,0.607,1.982,148.0
-0.252,0.818,0.483,0.637,345.0
0.605,-0.516,-1.021,0.726,572.0
-0.592,1.837,0.533,1.042,159.0
-1.566,3.357,-0.604,1.99,609.0
0.038,0.868,-0.201,0.479,304.0
-1.843,0.39,-0.623,2.111,182.0
1.367,0.3,-1.483,1.793,262.0
0.568,1.964,-0.832,0.534,444.0
-0.934,0.951,1.371,0.24,359.0
-1.657,1.269,1.546,1.101,134.0
-1.273,1.135,0.364,2.215,302.0
0.469,0.14,1.214,0.873,207.0
0.956,1.555,-1.609,0.091,525.0
1.108,1.547,-0.393,-0.554,112.0
0.842,0.857,0.573,0.957,234.0
1.758,3.243,-0.372,-0.732,171.0
0.111,-0.283,-0.299,-0.408,323.0
-0.679,0.594,0.393,-1.123,145.0
1.317,1.816,-0.319,1.579,533.0
0.619,1.742,0.731,0.935,512.0
0.817,2.099,0.965,1.97,658.0
1.016,1.176,-1.751,2.505,253.0
0.593,2.72,1.793,3.054,739.0
-0.407,0.622,-0.419,0.735,371.0
-0.866,0.056,-1.407,0.765,335.0
-0.16,1.008,0.535,2.697,494.0
1.227,2.993,-0.655,1.122,518.0
-0.49,1.01,-2.333,-1.537,71.0
-0.432,1.887,-0.426,-0.347,239.0
0.154,1.77,0.696,-0.537,471.0
0.165,0.595,-0.024,2.079,476.0
-0.642,1.847,-0.557,0.524,227.0
0.543,-0.41,0.378,1.277,498.0
-1.262,2.34,-1.09,1.168,227.0
2.133,2.476,-1.295,1.988,647.0
-0.993,1.472,0.378,1.788,347.0
2.135,0.208,-1.524,0.546,408.0
-1.147,0.01,-0.77,0.176,139.0
0.103,0.639,0.437,1.559,504.0
0.314,2.329,-0.517,0.524,625.0
1.181,2.695,-0.183,1.144,459.0
2.109,1.011,-1.585,0.679,521.0
1.054,-1.256,0.008,-0.547,239.0
-0.678,0.556,1.283,0.036,234.0
0.52,1.843,-0.78,1.627,653.0
0.257,0.912,0.587,1.778,445.0
1.445,1.158,1.62,0.797,624.0
-0.3,0.188,-0.718,0.059,188.0
0.259,2.379,1.458,0.215,640.0
-0.29,3.322,-0.48,2.155,613.0
-0.701,0.583,1.097,0.867,169.0
1.111,-0.863,2.213,0.433,568.0
0.156,2.057,-0.152,2.03,386.0
0.324,2.38,0.169,-1.537,80.0
0.192,0.947,-0.776,-0.316,224.0
-0.985,1.338,-2.274,0.717,191.0
0.754,-0.032,-1.867,1.144,252.0
-0.067,3.34,-0.768,1.362,593.0
-1.988,1.232,-0.045,1.513,177.0
0.139,2.673,0.474,0.953,180.0
-0.494,1.754,-0.747,-0.13,283.0
-0.133,1.497,-0.538,0.337,180.0
1.911,0.731,-0.519,1.097,484.0
