resistance,vitesse,satiete,vision,time_lived
-0.294,0.008,-0.241,0.238,438.0
0.132,1.262,0.414,2.66,380.0
-0.591,0.788,-0.421,1.159,219.0
0.732,0.255,2.626,0.96,597.0
1.119,1.886,-0.654,1.104,653.0
-0.308,1.07,-0.44,0.79,197.0
2.029,0.417,-0.474,0.706,318.0
-1.681,0.407,0.038,0.621,188.0
-1.295,0.993,-1.66,1.223,189.0
-0.474,2.486,1.608,-0.078,383.0
-1.858,0.261,-0.805,2.903,182.0
0.767,-0.602,-1.717,-0.891,189.0
-1.172,2.598,-0.892,2.212,434.0
-0.748,-0.177,-0.517,0.708,323.0
-0.763,0.319,-1.293,2.009,409.0
0.413,0.413,1.05,0.565,397.0
-0.102,-0.761,1.345,0.396,234.0
-0.069,-1.025,0.634,0.377,548.0
0.382,1.459,0.658,0.462,441.0
-1.948,0.614,-0.401,1.232,178.0
0.853,1.348,-0.101,2.497,532.0
0.388,3.26,0.277,-1.41,122.0
-0.121,2.092,0.286,-0.198,557.0
1.108,1.332,0.993,1.519,727.0
-1.974,0.938,-0.744,0.65,177.0
-0.951,0.933,-0.402,0.576,183.0
0.443,2.23,0.038,0.455,178.0
0.86,0.881,0.463,2.598,251.0
-0.674,1.978,0.738,-1.44,68.0
-0.622,1.06,-1.412,1.236,198.0
1.147,0.378,0.726,0.253,343.0
-0.302,1.542,0.66,1.646,374.0
-0.376,0.599,0.51,0.785,467.0
3.678,-1.225,0.033,1.252,395.0
1.142,0.436,0.003,0.986,464.0
-2.0,-0.081,0.011,2.63,177.0
1.152,2.295,0.846,2.385,774.0
0.613,1.62,-1.362,-0.306,297.0
-1.088,1.095,0.652,1.22,206.0
-0.114,2.112,-1.679,3.011,514.0
0.103,0.157,0.855,0.324,172.0
1.058,1.709,-1.68,1.125,217.0
-1.343,-0.085,0.753,1.826,199.0
-0.947,2.182,0.127,0.696,190.0
-0.078,0.946,-0.632,1.333,232.0
1.242,0.227,-0.514,0.341,404.0
1.737,1.167,-0.207,0.026,445.0
0.989,2.66,1.821,0.921,626.0
0.516,0.137,0.064,-0.403,189.0
-2.0,1.753,0.397,1.246,138.0
1.254,1.271,-0.661,0.123,296.0
-0.186,1.619,0.69,1.726,329.0
0.783,3.778,0.261,-1.006,305.0
-1.022,2.288,-1.284,0.782,438.0
0.647,0.717,-0.011,3.206,778.0
0.118,0.729,1.142,-0.366,264.0
0.799,0.051,0.552,-0.65,163.0
1.356,2.301,0.596,0.161,503.0
1.042,2.782,1.888,0.045,428.0
0.243,4.376,-0.525,1.015,596.0
2.201,1.616,0.273,1.286,330.0
-0.418,0.844,-0.012,0.364,390.0
-0.204,-0.379,-0.065,-0.948,89.0
-0.142,1.608,-0.405,-0.66,131.0
1.918,0.832,1.111,0.94,328.0
-0.123,-0.153,0.066,2.237,233.0
1.064,-0.528,-0.93,1.098,247.0
0.369,2.235,-1.772,1.788,557.0
-1.222,0.655,-0.043,-0.595,89.0
0.942,0.907,0.063,2.027,360.0
0.217,2.346,0.527,0.697,560.0
1.614,4.154,0.83,0.933,429.0
0.839,0.363,1.814,1.963,553.0
0.014,1.697,0.81,0.42,358.0
-1.119,0.86,-1.937,1.708,435.0
0.84,2.729,0.68,1.271,328.0
-0.856,1.537,-1.004,1.563,295.0
-2.0,1.081,0.497,0.996,129.0
-0.606,0.735,0.961,1.737,334.0
0.145,1.797,1.561,3.942,389.0
1.391,3.813,0.326,0.552,570.0
-0.017,0.589,0.729,0.055,102.0
0.866,1.362,0.671,1.922,389.0
-0.566,-0.296,-0.066,-0.471,210.0
-0.418,0.302,-0.771,2.553,225.0
-1.661,1.782,-0.067,-0.368,84.0
0.04,-1.029,1.366,1.291,362.0
2.597,0.926,-0.059,-0.6,206.0
-0.228,2.638,-0.692,2.209,319.0
2.049,0.704,1.069,0.205,425.0
0.539,1.269,-0.635,-0.244,163.0
0.838,2.078,0.87,2.393,376.0
-1.286,0.713,-0.566,0.607,253.0
1.653,3.149,0.081,2.051,257.0
-1.624,-0.995,-0.478,-0.127,156.0
0.732,1.751,-0.154,0.375,226.0
-1.077,-0.883,0.885,-0.651,197.0
0.861,1.118,0.07,0.443,236.0
0.962,1.136,0.23,0.323,278.0
0.918,1.4,-0.691,0.865,529.0
-0.933,0.835,0.581,0.472,280.0
0.005,1.97,-0.547,1.279,570.0
0.99,2.631,1.329,-0.119,267.0
-1.545,0.467,2.148,1.275,192.0
-0.611,1.085,0.22,1.371,219.0
0.613,0.048,-1.017,1.976,356.0
1.416,0.764,-0.138,-0.061,284.0
-1.038,0.806,1.522,0.095,190.0
1.218,0.754,0.18,-0.053,158.0
0.197,3.479,-0.75,-0.177,514.0
0.478,2.154,0.662,0.137,173.0
0.119,0.811,-2.333,0.831,523.0
-0.082,1.617,0.195,0.138,297.0
-1.485,1.015,0.328,-0.159,124.0
-0.551,-0.331,1.515,0.029,293.0
-2.0,1.779,-0.995,0.01,73.0
-0.237,1.868,-0.596,1.692,368.0
-0.537,1.215,-0.08,0.462,282.0
-1.135,2.98,0.213,1.502,202.0
0.842,0.989,0.37,3.106,251.0
2.831,1.598,-1.174,0.554,306.0
-1.707,2.532,-1.275,2.318,186.0
-0.08,1.682,0.349,1.791,412.0
0.049,2.52,0.25,1.458,231.0
0.105,-0.465,-1.324,0.379,247.0
0.416,0.68,0.079,-1.019,88.0
1.162,0.345,0.128,-0.16,240.0
-0.339,0.467,-1.362,0.819,411.0
0.571,-0.148,-1.64,2.778,485.0
-2.0,0.987,-0.329,2.171,177.0
1.364,2.447,-0.214,1.331,552.0
-1.584,0.461,1.443,-0.545,95.0
-0.719,0.8,-1.148,2.861,306.0
0.319,1.203,-0.179,-0.109,243.0
-0.895,0.776,0.972,0.365,164.0
-0.679,-0.157,-0.305,-0.38,151.0
0.261,0.117,0.946,0.039,560.0
-0.928,1.107,0.883,3.877,333.0
0.701,1.144,0.326,1.249,415.0
-1.481,2.406,0.574,0.79,168.0
0.572,-0.446,-0.885,0.282,184.0
0.103,-0.891,0.656,-1.418,78.0
-0.048,0.813,1.465,0.45,288.0
0.751,2.531,-0.147,-0.055,254.0
1.098,3.277,0.278,1.026,193.0
-0.245,-0.2,0.195,0.376,205.0
-1.549,-2.12,0.293,0.444,193.0
-0.742,0.455,-0.763,-0.106,173.0
-0.609,1.701,0.275,0.11,148.0
-0.12,0.25,-1.209,1.258,232.0
-1.23,2.05,0.866,1.95,320.0
-0.198,1.725,0.36,0.523,280.0
1.121,0.309,-1.125,0.733,336.0
-0.541,1.208,0.117,0.749,260.0
0.84,1.722,0.055,-1.671,121.0
-0.338,2.052,-0.677,1.385,248.0
0.802,0.013,-1.27,0.168,222.0
2.144,1.136,1.136,2.687,373.0
-0.445,1.246,-1.443,1.231,442.0
0.571,1.635,-1.167,1.803,590.0
-0.835,0.597,0.025,-0.24,169.0
0.074,1.745,-0.516,1.502,280.0
1.642,1.634,0.401,1.163,492.0
-0.009,-1.027,0.274,0.815,445.0
1.757,0.536,-0.451,-1.255,174.0
0.329,2.329,-0.088,-0.038,408.0
1.201,1.467,-1.694,1.911,475.0
0.354,1.006,1.034,0.043,549.0
1.386,1.693,-0.898,0.128,356.0
-0.095,2.247,1.063,0.279,335.0
-0.27,1.74,0.309,0.714,271.0
-0.937,0.6,1.072,2.435,326.0
0.375,1.284,-0.735,1.011,552.0
0.014,2.399,0.406,2.077,217.0
1.139,3.7,-0.041,2.07,545.0
-1.46,0.708,0.721,1.242,213.0
-0.661,2.124,-0.565,-0.499,200.0
-0.403,0.706,0.632,0.702,256.0
1.689,0.127,2.477,0.473,456.0
-0.898,2.096,0.73,0.493,448.0
-0.078,-0.142,0.433,-0.002,336.0
1.081,1.94,-0.784,2.448,337.0
0.426,3.296,0.794,-0.505,441.0
-0.671,2.034,-0.4,0.126,136.0
0.989,1.748,-1.517,-0.084,253.0
0.518,1.474,1.937,-0.264,404.0
-2.0,1.058,-0.331,1.978,159.0
1.746,1.406,0.231,0.844,385.0
0.003,0.043,0.155,2.84,235.0
-1.163,1.589,-0.07,-0.073,86.0
-2.0,0.591,1.662,0.964,177.0
1.111,1.203,0.144,0.856,590.0
-2.0,1.729,0.81,1.518,176.0
0.434,0.938,0.617,-0.177,300.0
1.136,0.191,0.653,0.957,539.0
-0.675,-0.336,-1.002,2.507,573.0
-0.497,-0.009,-0.762,0.343,245.0
0.855,2.802,0.65,1.517,660.0
-1.455,0.471,1.168,-0.054,144.0
-2.0,2.73,-0.486,-1.353,64.0
1.052,1.644,-0.192,-0.149,187.0
-0.359,1.453,1.612,0.713,474.0
1.64,-0.006,1.182,2.079,513.0
0.91,1.596,0.5,1.183,216.0
1.336,0.535,0.682,1.877,373.0
-1.047,0.997,0.121,0.512,207.0
0.162,-0.458,1.739,1.268,440.0
1.568,3.021,-1.179,1.043,139.0
-1.039,-0.113,1.06,2.265,261.0
-0.165,0.939,-1.063,1.467,261.0
-1.055,1.077,0.876,1.474,233.0
-0.421,3.639,-1.855,0.295,279.0
0.469,-0.744,1.323,-0.773,171.0
-0.153,1.92,0.023,2.634,228.0
0.452,1.717,2.667,1.116,302.0
0.895,0.126,-0.046,2.78,476.0
0.401,0.149,-0.446,1.373,417.0
2.019,0.905,-0.321,2.825,271.0
0.587,-0.145,0.899,0.003,374.0
-1.166,3.603,0.197,1.666,222.0
-0.34,1.486,-0.732,-0.044,309.0
0.09,3.078,-0.295,-1.5,77.0
-1.196,1.168,-0.036,0.698,288.0
-0.894,2.074,0.704,1.799,273.0
-0.965,0.204,0.833,1.571,390.0
-1.287,0.886,0.438,1.064,200.0
-1.204,2.06,-1.157,2.184,260.0
-0.289,-0.22,-2.114,1.458,229.0
-0.959,1.425,-0.297,1.214,434.0
-1.011,1.481,-1.136,-1.139,103.0
0.557,1.742,-0.399,1.259,253.0
-1.169,1.442,-0.847,1.577,208.0
0.442,-0.894,1.928,1.382,490.0
0.51,0.379,0.152,1.979,349.0
0.118,0.261,1.271,0.76,590.0
-0.83,1.562,0.415,0.723,181.0
0.531,1.48,-2.333,2.05,306.0
-2.0,-0.702,-1.041,-0.296,107.0
0.035,2.423,0.286,1.204,279.0
1.785,1.959,-0.631,-0.158,371.0
1.426,0.653,-0.972,2.101,262.0
0.421,2.029,0.44,0.804,412.0
1.525,1.942,-1.084,1.167,346.0
2.036,0.745,0.239,2.698,377.0
1.292,-0.603,0.48,2.093,264.0
-0.698,1.483,-0.143,0.77,153.0
1.085,1.043,0.319,2.154,255.0
-1.208,0.637,-1.239,1.922,425.0
0.228,1.187,-2.279,-0.349,187.0
-0.943,0.065,0.409,1.515,511.0
-0.112,-0.092,-0.216,1.544,431.0
-1.481,2.32,-0.835,0.769,344.0
1.0,1.5,-1.219,0.237,378.0
0.645,1.344,-0.363,0.203,369.0
-0.851,0.271,-0.258,0.392,265.0
0.562,-0.004,2.536,0.747,402.0
-0.089,0.811,-1.825,0.454,160.0
-1.001,1.053,-1.268,1.285,167.0
0.145,2.128,-0.132,1.607,234.0
2.628,0.327,0.869,2.64,394.0
-0.764,2.049,1.147,1.719,493.0
0.81,1.421,-1.636,1.299,370.0
-1.058,0.889,0.648,2.799,341.0
1.37,1.101,1.711,2.747,749.0
-0.644,0.186,0.763,-0.474,158.0
-0.008,1.286,-0.243,-0.255,276.0
-0.898,-0.428,0.311,-0.344,177.0
0.475,1.897,-0.583,0.892,576.0
0.016,0.692,-0.298,-0.514,119.0
0.622,2.036,1.979,2.115,631.0
0.584,1.477,-0.572,0.378,185.0
-1.243,0.373,1.33,1.772,202.0
1.534,2.014,0.375,1.647,448.0
-0.676,2.018,1.342,1.904,298.0
-0.377,3.136,1.316,2.239,573.0
-0.905,0.726,-0.082,1.018,292.0
-0.39,1.854,-0.687,-0.593,163.0
-1.272,2.161,1.796,2.277,199.0
-1.126,2.128,1.268,2.657,432.0
-1.404,0.156,1.353,1.294,197.0
-0.417,1.517,-0.273,1.168,455.0
-0.991,0.224,-1.255,2.821,252.0
0.647,0.654,-0.183,-1.227,124.0
-1.788,1.125,2.605,2.722,184.0
-0.105,1.633,0.59,0.516,273.0
-2.0,3.529,-0.249,1.016,176.0
1.013,0.919,-1.414,-0.348,124.0
-1.723,2.38,0.519,1.294,164.0
-0.921,1.129,-0.782,1.793,192.0
0.215,0.182,0.646,2.204,374.0
1.846,2.101,-0.003,2.219,484.0
1.402,1.79,-0.026,0.932,714.0
-0.294,0.903,-0.094,2.565,227.0
-0.581,0.12,1.158,1.009,397.0
0.214,0.099,0.323,1.334,502.0
-0.038,2.121,0.513,1.946,600.0
-1.085,1.46,1.054,-0.136,183.0
-1.748,1.266,-1.214,1.912,185.0
0.64,0.23,-2.118,1.35,249.0
1.476,1.385,0.07,-0.221,307.0
-0.458,1.765,1.282,-0.237,335.0
0.234,0.796,-0.053,2.005,356.0
0.393,0.539,0.812,0.292,126.0
-0.609,2.594,0.349,1.192,385.0
0.676,1.256,-1.42,0.778,229.0
-0.752,0.485,0.217,0.966,297.0
0.339,0.627,-0.404,0.801,241.0
-0.31,3.161,0.901,1.486,354.0
-0.762,1.666,-0.474,1.868,284.0
0.71,0.338,0.12,0.197,358.0
-0.614,2.364,0.343,1.315,216.0
1.329,1.214,-1.958,0.754,252.0
1.815,1.881,-2.318,0.175,169.0
-1.215,1.073,-1.07,-0.54,95.0
0.623,1.434,1.723,1.328,377.0
1.023,1.532,-0.376,1.634,299.0
-0.541,0.611,0.201,-0.295,254.0
0.817,2.081,-0.893,0.642,314.0
-1.408,0.903,1.081,0.753,237.0
0.216,-1.198,-0.164,2.235,243.0
-0.445,1.204,-0.639,0.194,195.0
-1.166,0.531,0.256,0.577,166.0
-1.126,2.538,-1.405,1.422,385.0
1.353,2.08,1.889,-0.058,319.0
0.079,0.973,0.547,3.373,368.0
-2.0,0.769,-0.531,1.296,147.0
1.977,1.601,-0.897,2.593,350.0
0.401,1.752,-2.333,1.058,297.0
-0.177,0.557,-0.17,-0.518,191.0
-0.241,1.476,0.925,0.785,340.0
0.025,-0.201,0.773,3.994,500.0
0.231,1.033,-0.806,1.096,459.0
0.99,1.255,-1.265,-0.082,226.0
-1.399,-0.172,1.888,1.791,197.0
-0.493,1.31,-0.481,1.021,221.0
-0.116,1.897,1.726,3.521,676.0
1.72,2.3,1.056,0.043,181.0
1.723,1.711,0.215,-1.245,295.0
-2.0,0.42,-0.202,1.253,152.0
0.462,0.04,1.463,0.784,627.0
-0.146,-1.213,1.175,0.856,387.0
1.179,-0.444,-1.558,1.404,338.0
-0.315,0.597,1.708,0.864,278.0
0.698,0.764,-1.733,2.403,465.0
0.828,1.12,1.899,-1.728,232.0
0.851,1.671,1.964,-0.023,303.0
0.826,-0.076,-1.492,0.797,200.0
-0.254,3.008,-0.422,0.236,461.0
-2.0,2.343,0.526,0.753,176.0
